INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV,FSCALE,FMETHOD
46,33,EMU_1934-72,71676,0,71681,OBSERVED,19 34 48.396,-72 19 38.12,293.70165,-72.3272555555556,322.87012367945,-29.0312503691587,22.301,5248171054.15411,36020.92032006195,36020.920320000005,36,5248276302.066997,133576905,15.000000000000012,15.000000000000012,0.0,-0.002599107101559639,1.668124794960022,35.92866327782045,35.12185415501812,16.093482142070602,24.318668182201964,1120.3272478769584,5248352166,4536,1,0,0,,0,1.0,--NULL--
47,34,EMU_2012-77,70918,0,70920,IMAGED,20 12 40.391,-77 06 42.13,303.168295833333,-77.1117027777778,317.040632868409,-30.8902955604207,12.498,5246299600.515454,36060.73343995026,36060.73344,36,5246456690.908822,133643336,15.000000000000012,15.000000000000012,0.0,-0.00746013130992651,0.9264235496520996,31.442290504744,30.86276716132128,8.408660102739699,22.54902362116537,378.1969340489121,5246495156,4536,1,0,0,,0,1.0,--NULL--
48,35,EMU_2129-81,70398,0,70397,OBSERVED,21 29 50.363,-81 08 49.22,322.459845833333,-81.1470055555556,311.017962859312,-32.5380396749563,-7.128,5244241974.313342,36010.96704056671,36010.96704,36,5244297922.866398,133658856,15.000000000000012,15.000000000000012,0.0,-0.016293449327349663,2.394850015640259,35.0078203838962,34.60184241359177,15.043440768942062,23.58916161058566,418.5044109777135,5244327967,4536,1,0,0,,0,1.0,--NULL--
49,36,EMU_0000-83,-1,0,-1,__NULL__,00 00 00,-82 59 26.35,0.0,-82.9906527777778,304.80815633744,-33.9492461459572,-45.0,5118108273.19334,895.795199898987,895.7952,36,5165891274.435,124010013,18.7,12.0,16.44,-0.0126893976703286,1.20257151126862,189.320040420747,172.933096106613,181.078203627451,127.797977229769,1882.40220937312,5166405289,4536,1,0,0,,-1,1.0,--NULL--
50,37,EMU_0230-81,-1,0,-1,__NULL__,02 30 09.636,-81 08 49.22,37.54015,-81.1470055555556,298.426911773792,-35.1002052972206,-82.872,5118111338.80358,905.748479394226,905.74848,36,5165891424.946,124861065,16.9,10.1,-12.31,-0.00625047832727432,0.557927370071411,175.96246155215,164.909742176892,130.758772804222,128.868182205641,1774.57477182172,5166406748,4536,1,0,0,,-1,1.0,--NULL--
51,38,EMU_0347-77,-1,0,-1,__NULL__,03 47 19.608,-77 06 42.13,56.8317,-77.1117027777778,291.900194217598,-35.9699641065563,-102.498,5118378073.43654,905.7484803479,905.74848,36,5165880979.633,125647503,14.8,8.89999999999999,7.42,-0.0283297840505838,9.61938953399658,184.926229551865,169.89201363868,174.28117960693,132.120478851341,2574.60489124612,5166408258,4536,1,0,0,,-1,1.0,--NULL--
52,39,EMU_0425-72,59607,0,59705,IMAGED,04 25 11.603,-72 19 38.12,66.2983458333333,-72.3272555555556,285.263791247075,-36.5416106618852,-112.301,5215903793.30803,36010.96704056671,36010.96704,36,5216030625.406347,132933531,15.000000000000012,15.000000000000012,0.0,-0.12920726835727692,16.013782501220703,31.531422380344175,30.613307389963296,114.99697285815463,21.07702333720372,9274.907189179032,5216932670,4536,1,0,0,,0,1.0,--NULL--
53,40,EMU_0425-72,46957,0,46960,OBSERVED,04 25 11.603,-72 19 38.12,66.2983458333333,-72.3272555555556,285.263791247075,-36.5416106618852,-112.301,5179031143.723391,36020.92032006195,36020.920320000005,36,5181583090.716092,134476115,15.000000000000012,15.000000000000012,0.0,-0.09747961163520813,17.656356811523438,36.31424674111176,35.33420423518414,122.35357481084971,23.979419244493354,10306.118543807272,5181762363,4536,1,0,0,,0,1.0,--NULL--
54,41,EMU_2044-72,70284,0,70272,OBSERVED,20 44 25.892,-72 04 25.51,311.107883333333,-72.0737527777778,322.091768609728,-34.2980494265901,5.299,5243283218.4241905,36020.92032006195,36020.920320000005,36,5243337240.149888,133333603,15.000000000000012,15.000000000000012,0.0,-0.015793228521943092,1.1777045726776123,35.37657863568871,34.54954796987632,18.180834972090707,23.88216814701428,1163.1845795198049,5243372816,4536,1,0,0,,0,1.0,--NULL--
55,42,EMU_2141-75,70486,0,70487,IMAGED,21 41 17.715,-75 45 16.71,325.3238125,-75.7546416666667,315.92266457073,-36.144154683902,-9.482,5244927891.444095,36020.92032006195,36020.920320000005,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,0,0,,0,1.0,--NULL--
